@relation cloneEval

@attribute numInstance real
@attribute followControlStat {true, false}
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,true,0.11475409836065574,21,204,true,4,0.25,0.0,true,true,10,0.07253149126371394,0.0013531799729364006,1.3544629554381688E-4,0.0,1.3544629554381688E-4,0.0,1.3544629554381688E-4,0.07239604496817012,0.0,1.3544629554381688E-4,0.0,18,0.0,0.16666666666666666,0.2777777777777778,0.0,unrefactored
2,false,1.0,35,148,true,7,0.42857142857142855,0.0,false,false,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.38461538461538464,0.0,unrefactored
2,false,0.9333333333333333,14,152,false,0,0.16666666666666666,0.0,false,true,4,0.0673845320330489,0.0013531799729364006,2.031694433157253E-4,0.0,0.0016930786942977109,2.031694433157253E-4,2.031694433157253E-4,0.06718136258973317,0.0,2.031694433157253E-4,0.0,3,0.0,0.0,0.3333333333333333,0.0,unrefactored
2,false,1.0,67,274,true,44,0.030303030303030304,0.0,false,false,2,0.043952322903968576,0.0040595399188092015,7.449546254909928E-4,6.772314777190844E-5,0.0017608018420696193,6.772314777190844E-5,6.09508329947176E-4,0.046593525667073005,3.386157388595422E-4,6.09508329947176E-4,0.0,127,0.0,0.05511811023622047,0.16535433070866143,0.015748031496062992,unrefactored
2,false,1.0,11,95,true,1,0.2,0.0,false,true,0,0.032371664634972236,0.0013531799729364006,6.772314777190844E-5,6.772314777190844E-5,0.0014899092509819856,3.386157388595422E-4,6.772314777190844E-5,0.032303941487200324,0.0,6.772314777190844E-5,0.0,15,0.0,0.26666666666666666,0.2,0.0,unrefactored
2,false,0.2857142857142857,10,100,true,3,0.2222222222222222,0.0,false,false,10,0.10002708925910876,0.005412719891745603,4.063388866314506E-4,6.772314777190844E-5,0.0037924962752268723,6.772314777190844E-4,4.063388866314506E-4,0.0996207503724773,0.0,4.063388866314506E-4,0.0,7,0.0,0.0,1.0,0.0,unrefactored
2,false,0.9836065573770492,60,332,true,24,0.18518518518518517,0.0,false,true,4,0.10002708925910876,0.0040595399188092015,2.031694433157253E-4,0.0,0.0050792360828931325,0.001083570364350535,6.772314777190844E-5,0.09982391981579304,1.3544629554381688E-4,6.772314777190844E-5,0.0,92,0.0,0.05434782608695652,0.1956521739130435,0.021739130434782608,unrefactored
2,true,0.06542056074766354,14,133,true,4,0.09090909090909091,0.0,true,false,6,0.041040227549776515,0.008119079837618403,0.0014221861032100772,2.031694433157253E-4,0.01693078694297711,0.0011512935121224435,0.0014221861032100772,0.039618041446566436,0.0,0.0014221861032100772,0.0,15,0.0,0.2,0.4,0.0,unrefactored
3,false,1.0,16,116,false,0,0.9,0.0,false,true,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.391304347826087,0.0,0.043478260869565216,0.0,unrefactored
2,true,0.21212121212121213,7,84,true,2,0.2857142857142857,0.0,true,false,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.25,0.25,0.0,unrefactored
2,false,0.9642857142857143,27,288,true,14,0.03225806451612903,0.0,false,false,8,0.040092103480969796,0.0013531799729364006,6.772314777190844E-5,0.0,0.0025734796153325207,3.386157388595422E-4,0.0,0.039821210889882164,2.7089259108763376E-4,0.0,0.0,19,0.0,0.10526315789473684,0.15789473684210525,0.0,unrefactored
2,false,1.0,9,92,false,0,0.25,0.0,false,true,2,0.028105106325342,0.0013531799729364006,1.3544629554381688E-4,0.0,4.063388866314506E-4,0.0,1.3544629554381688E-4,0.027969660029798185,0.0,1.3544629554381688E-4,0.0,27,0.0,0.14814814814814814,0.1111111111111111,0.0,unrefactored
2,false,0.3541666666666667,17,169,false,0,0.0,0.0,false,true,1,1.3544629554381688E-4,0.0,0.0,0.0,0.0,0.0,0.0,1.3544629554381688E-4,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,false,0.9838709677419355,61,851,false,1,0.625,0.0,false,true,5,0.006230529595015576,0.0013531799729364006,2.031694433157253E-4,1.3544629554381688E-4,2.031694433157253E-4,1.3544629554381688E-4,2.031694433157253E-4,0.006027360151699851,0.0,2.031694433157253E-4,0.0,30,0.0,0.03333333333333333,0.03333333333333333,0.0,unrefactored
2,true,0.2222222222222222,8,94,true,1,0.14285714285714285,0.0,true,false,3,0.04198835161858323,0.0013531799729364006,2.7089259108763376E-4,6.772314777190844E-5,0.003115264797507788,0.0011512935121224435,2.7089259108763376E-4,0.0417174590274956,0.0,2.7089259108763376E-4,0.0,16,0.0,0.1875,0.25,0.0,unrefactored
3,false,0.95,19,153,true,5,0.29411764705882354,0.0,false,false,0,0.018827035080590547,0.0,0.0,0.0,6.772314777190844E-4,6.772314777190844E-5,0.0,0.018827035080590547,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,false,0.9375,15,78,true,9,0.0,0.0,false,false,5,0.021806853582554516,0.0013531799729364006,6.772314777190844E-5,0.0,0.001557632398753894,5.417851821752675E-4,0.0,0.021739130434782608,6.772314777190844E-5,0.0,0.0,1,0.0,0.0,1.0,0.0,unrefactored
4,false,0.8888888888888888,8,68,true,9,0.0,0.0,false,false,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,unrefactored
2,false,1.0,13,102,false,0,0.5,0.0,false,true,3,0.005824190708384126,0.0,0.0,0.0,1.3544629554381688E-4,0.0,0.0,0.005824190708384126,0.0,0.0,0.0,13,0.0,0.07692307692307693,0.15384615384615385,0.0,unrefactored
2,false,1.0,10,81,false,0,0.5,0.0,false,true,3,0.018352973046187188,0.0027063599458728013,3.386157388595422E-4,6.772314777190844E-5,5.417851821752675E-4,6.772314777190844E-5,3.386157388595422E-4,0.018014357307327644,0.0,3.386157388595422E-4,0.0,7,0.0,0.0,0.42857142857142855,0.0,unrefactored
2,false,0.9545454545454546,21,148,true,3,0.1111111111111111,0.05555555555555555,false,false,7,0.10002708925910876,0.006765899864682003,0.001083570364350535,2.031694433157253E-4,0.005756467560612218,0.0014899092509819856,1.3544629554381688E-4,0.0987403494514425,0.0011512935121224435,1.3544629554381688E-4,0.0,3,0.0,0.0,0.0,0.0,unrefactored
2,false,1.0,9,89,false,0,0.75,0.0,false,false,6,0.10002708925910876,0.0013531799729364006,7.449546254909928E-4,2.031694433157253E-4,0.0031829879452796965,0.0010158472165786266,3.386157388595422E-4,0.09928213463361778,4.063388866314506E-4,3.386157388595422E-4,0.0,28,0.0,0.07142857142857142,0.10714285714285714,0.0,unrefactored
2,false,1.0,9,138,false,0,0.75,0.0,false,true,4,0.009955302722470541,0.0013531799729364006,3.386157388595422E-4,2.031694433157253E-4,0.001083570364350535,3.386157388595422E-4,6.772314777190844E-5,0.02295814709467696,6.09508329947176E-4,6.772314777190844E-5,0.0,42,0.0,0.047619047619047616,0.19047619047619047,0.0,unrefactored
